label,text,sentiment,produit,auteur
0,"- Awww, c'est un bummer. Tu devrais avoir david carr du troisième jour pour le faire. ;ré",negatif,Marque X,@user_demo
0,"Est contrarié qu'il ne puisse pas mettre à jour son facebook en le télémaignant ... et peut-être pleurer en conséquence, l'école aujourd'hui aussi. blabla!",negatif,Marque X,@user_demo
0,J'ai plongé plusieurs fois pour la balle. A réussi à économiser 50% le reste sort de limites,negatif,Marque X,@user_demo
0,Tout mon corps a des démangeaisons et comme si c'était en feu,negatif,Marque X,@user_demo
0,"Non, il ne se comporte pas du tout. je suis en colère. pourquoi suis-je ici? Parce que je ne peux pas vous voir partout.",negatif,Marque X,@user_demo
0,Pas l'équipage complet,negatif,Marque X,@user_demo
0,besoin d'un câlin,negatif,Marque X,@user_demo
0,"Bonjour pas de vue! Oui ... pleut un peu, juste un peu lol, je vais bien merci, comment ça va?",negatif,Marque X,@user_demo
0,"Non, ils ne l'avaient pas",negatif,Marque X,@user_demo
0,Je meurs?,negatif,Marque X,@user_demo
0,Vacances de printemps en ville ordinaire ... il neige,negatif,Marque X,@user_demo
0,Je viens de perdre mes oreilles,negatif,Marque X,@user_demo
0,Je ne pouvais pas supporter de le regarder. Et je pensais que la perte de l'ua était embarrassante. . . . .,negatif,Marque X,@user_demo
0,"Ça compte, idk pourquoi je l'ai fait non plus. Tu ne me parles plus",negatif,Marque X,@user_demo
0,"J'aurais été le premier, mais je n'avais pas d'arme à feu. Pas vraiment, zac snyder est juste une doucheclown.",negatif,Marque X,@user_demo
0,J'aimerais que je le regarde avec vous !! Tu me manques et comment était la première?,negatif,Marque X,@user_demo
0,La scène de la mort de Hollis va humer sévèrement de regarder le film en train de se débrouiller.,negatif,Marque X,@user_demo
0,Sur le point de déposer des taxes,negatif,Marque X,@user_demo
0,Ahh ive toujours voulu voir le loyer adorer la bande originale !!,negatif,Marque X,@user_demo
0,Oh cher. Est-ce que vous buviez des boissons de table oubliées?,negatif,Marque X,@user_demo
0,J'étais dehors la plupart du temps donc je n'ai pas beaucoup fait,negatif,Marque X,@user_demo
0,Un de mes amis m'a appelé et a demandé de la rencontrer à la mi-vallée aujourd'hui ... mais je n'ai pas le temps * soupir *,negatif,Marque X,@user_demo
0,"Je vous ai cuisiné un gâteau, mais je l'ai appris",negatif,Marque X,@user_demo
0,Cette semaine ne va pas comme je l'avais espéré,negatif,Marque X,@user_demo
0,classe blagh demain à 8,negatif,Marque X,@user_demo
0,Je déteste quand je dois appeler et réveiller les gens,negatif,Marque X,@user_demo
0,Je vais me crier après avoir regardé Marley et moi.,negatif,Marque X,@user_demo
0,Je suis triste maintenant miss.lilly,negatif,Marque X,@user_demo
0,"Ooooh .... lol que leslie .... et ok je ne le refuserai pas, donc leslie ne va pas se fâcher de nouveau",negatif,Marque X,@user_demo
0,Meh ... presque l'amant est l'exception ... cette piste me déprime à chaque fois.,negatif,Marque X,@user_demo
0,Some1 piraté mon compte sur le but maintenant je dois en créer un nouveau,negatif,Marque X,@user_demo
0,"Je veux aller pour promouvoir l'engrenage et le sillon, mais malheureusement, je ne vais pas là-bas. Je pourrais aller à celui d'Anaheim en mai",negatif,Marque X,@user_demo
0,Pensé dormir dans était une option demain mais en réalisant que ce n'est pas le cas maintenant. Les évaluations le matin et le travail dans l'après-midi!,negatif,Marque X,@user_demo
0,"Crainte que je vous aime aussi !!!! Je suis ici, je vous manque",negatif,Marque X,@user_demo
0,Je pleure mes yeux asiatiques pour dormir la nuit,negatif,Marque X,@user_demo
0,"Ok, je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant",negatif,Marque X,@user_demo
0,Je vous raconte l'histoire plus tard pas une bonne journée et je travaillerai comme trois heures de plus ...,negatif,Marque X,@user_demo
0,Pardon! Le temps de coucher est venu ici (gmt + 1),negatif,Marque X,@user_demo
0,Je ne le fais pas non plus. c'est déprimant. Je ne pense pas que je voulais même savoir sur les enfants dans les valises.,negatif,Marque X,@user_demo
0,lit. Classe 8-12. Travail 12-3. Gymnase 3-5 ou 6. puis classe 6-10. Un autre jour qui va passer. ma petite amie me manque,negatif,Marque X,@user_demo
0,Je n'ai vraiment pas envie de me lever aujourd'hui ... mais je dois étudier pour un examen pratique de demain ...,negatif,Marque X,@user_demo
0,"Il est la raison de la larme sur ma guitare, le seul qui a assez de moi pour me casser",negatif,Marque X,@user_demo
0,"triste triste triste. Je ne sais pas pourquoi, mais je déteste ce sentiment, je veux dormir et je ne peux toujours pas!",negatif,Marque X,@user_demo
0,"Awww, je souhaite que j'étais là pour vous voir enfin à l'aise! Je suis triste que je l'ai manqué",negatif,Marque X,@user_demo
0,s'endormir. Vient d'entendre parler du corps de cette fille de tracy. Quelle est la tristeté de mes familles pour cette famille.,negatif,Marque X,@user_demo
0,Yay! Je suis heureux pour vous avec votre travail! Mais cela signifie aussi moins de temps pour moi et vous ...,negatif,Marque X,@user_demo
0,"J'ai juste vérifié mon chronologie de l'utilisateur sur mon Blackberry, il semble que le twanking est toujours en train de se produire. Ppl a-t-il encore des problèmes avec wgs / wgs?",negatif,Marque X,@user_demo
0,Oh mec ... était le top préféré de repasser à porter à une réunion. L'a brûlé,negatif,Marque X,@user_demo
0,Est étrangement triste de voir lilo et Samro se séparer.,negatif,Marque X,@user_demo
0,"Oh! Je suis tellement désolé, je n'ai pas réfléchi avant de retweeter.",negatif,Marque X,@user_demo
0,"Plan large bande ""une énorme promesse brisée"" via www.diigo.com/~tautao toujours en attente de haut débit, nous sommes",negatif,Marque X,@user_demo
0,"Wow, des tonnes de réponses de vous, peut-être que de ne pas suivre afin que je puisse voir les tweets de mes amis, vous défilez beaucoup.",negatif,Marque X,@user_demo
0,Notre canard et notre poulet prendront beaucoup de temps pour éclabousser,negatif,Marque X,@user_demo
0,"Mettre des photos de vacances en ligne il y a quelques années. PC s'est écrasé, et maintenant j'oublie le nom du site.",negatif,Marque X,@user_demo
0,j'ai besoin d'un câlin,negatif,Marque X,@user_demo
0,"Pas sûr de ce qu'ils sont, seulement qu'ils sont pos. Autant que je le veux, je ne pense pas pouvoir échanger les actifs de l'entreprise, désolé, alors!",negatif,Marque X,@user_demo
0,Je déteste quand cela arrive...,negatif,Marque X,@user_demo
0,"J'ai du mal à dire que dallas ne va pas apparaître, je dois dire que vous pensez que plus de spectacles utiliseront la musique du jeu. Mmm",negatif,Marque X,@user_demo
0,Ugh .... 92 degrés demain,negatif,Marque X,@user_demo
0,"Où as-tu déménagé? Je pensais que vous étiez déjà dans sd. ?? Hmmm. Au hasard, tu m'as trouvé. Heureux de vous entendre bien.",negatif,Marque X,@user_demo
